plot,Rep,Row,Column,taxa,Anthesis,Silking,Silking.sp,Anthesis.sp,Silking.sp.sp
1658,1,24,14,Oh7,77,80,77.3296728234806,74.537721021706,77.3294789220522
1659,1,24,15,NC326,78,79,76.8173544516977,75.0287045182508,76.8171663703892
1660,1,24,16,DKHBA1,76,77,75.8048201109349,74.0197404382442,75.8046428661492
1661,1,24,17,W37A,65,67,70.7920075988762,68.5107947881746,70.7918474897881
1662,1,24,18,A649,63,62,68.2788525391065,67.5018317656736,68.2787171725952
1663,1,24,19,F118,79,79,76.7653739852364,75.4928413646185,76.7652703468026
1664,1,24,20,LH146Ht,67,71,72.7516220185086,69.4838221173999,72.7515557718227
1665,1,24,21,SD102,71,73,73.7376208953655,71.4747603037942,73.7375970459181
1666,1,24,22,PHK46,77,83,78.7234063546829,74.4656458093955,78.7234289572424
1667,1,24,23,LH213,73,78,76.2090535804959,72.4564833191418,76.2091247320142
1668,1,24,24,LH215,71,73,73.6946150285026,71.4472745541224,73.6947354784328
1669,1,24,25,PHG71,69,71,72.6801054684159,70.4380147908443,72.6802756280817
1670,1,24,26,B97,73,76,75.1655207575892,72.4286993122487,75.1657413060309
1671,1,24,27,NC260,76,79,76.6508484942561,73.9193253743134,76.6511206884591
1672,1,24,28,B14,73,79,76.636108598169,72.4099023255197,76.6364334997467
1673,1,25,1,CML_220,81,83,78.9053234981144,76.6078772161654,78.9057438511518
1674,1,25,2,C68,68,71,72.8992374036685,70.1011371586641,72.8995655019687
1675,1,25,3,NP87,76,79,76.8930622432424,74.0943837781295,76.8933002108747
1676,1,25,4,N201,76,77,75.8866928346707,74.0875962070402,75.8868452544904
1677,1,25,5,M37W,81,86,80.3800088106049,76.5807529349801,80.3800830133534
1678,1,25,6,W813G,71,76,75.3728952754234,71.5738392886609,75.3729012340596
1679,1,25,7,A548,66,67,70.8652527033563,69.0668512463049,70.8652027160695
1680,1,25,8,CS608,71,73,73.8570653984813,71.5598097105326,73.8569721571043
1681,1,25,9,Oh603,77,78,76.3483877116645,74.5527546183477,76.3482626664815
1682,1,25,10,B97,76,79,76.8393201261681,74.0457286934868,76.8391722804725
1683,1,25,11,B97,73,78,76.329970961469,72.5387690445651,76.3298066305239
1684,1,25,12,B37,76,75,74.8204001380612,74.0318861715264,74.8202240774918
1685,1,25,13,B66,72,76,75.310637672675,72.0250796012319,75.3104537876919
1686,1,25,14,CS405,71,71,72.8006732688151,71.5183389446899,72.8004855805177
1687,1,25,15,CI_28A,77,79,76.7904680968501,74.5116421408447,76.7902813992097
1688,1,25,16,LH197,71,77,75.7799535505549,71.5049537827055,75.7797740923831
1689,1,25,17,LH1,73,79,76.7690636201309,72.4982393658828,76.7688990907887
1690,1,25,18,AQA3,68,68,71.2577485077705,69.9914696873693,71.2576077056143
1691,1,25,19,Tx303,85,87,80.7460521128235,78.4846445049032,80.7459428357573
1692,1,25,20,W809G,76,77,75.7340532133365,73.9777733638472,75.7339814875511
1693,1,25,21,LH202,69,73,73.7218025569663,70.470853191427,73.7217733251393
1694,1,25,22,PHJ90,68,71,72.7093596605967,69.963883544916,72.709376530188
1695,1,25,23,MoG,78,83,78.6968184691033,74.9568767295415,78.6968827858759
1696,1,25,24,B97,73,78,76.1842417800136,72.4498387330394,76.1843533774786
1697,1,25,25,PHG86,76,77,75.6716437940686,73.9427648585296,75.6718021853308
1698,1,25,26,NY_166_(Neveh_Yaar),71,77,75.6590068415215,71.4356467039358,75.6592120657112
1699,1,25,27,Tr,76,76,75.1462951520745,73.9284751798259,75.1465482721077
1700,1,25,28,PHFA5,62,63,68.6335021858576,66.9212531511013,68.633804600428
1701,1,26,1,Mo17,73,79,76.8554736109903,72.5619168218258,76.855853255055
1702,1,26,2,MQ305,68,68,71.3506043156839,70.0572225444261,71.3509060907105
1703,1,26,3,PHR03,78,81,77.8456881133843,75.0525242630882,77.8459135600473
1704,1,26,4,4F-306_108,71,87,80.8406414865034,71.5478037850577,80.8407941664765
1705,1,26,5,YANG,64,64,69.3353734713406,68.0430453629654,69.335459025495
1706,1,26,6,LH204,69,72,73.3297986529764,70.5382415235835,73.3298246535499
1707,1,26,7,LH195,77,76,75.3238437042406,74.5333961738148,75.3238193664356
1708,1,26,8,CI_187-2,76,79,76.8174888552461,74.0285292572408,76.8174237454162
1709,1,26,9,MS221,76,77,75.8107602175397,74.0236725394654,75.8106631286324
1710,1,26,10,LH299,66,67,70.803722589602,69.0188581614328,70.803600477032
1711,1,26,11,N542,77,77,75.796448022333,74.5141120130278,75.7963057700958
1712,1,26,12,Ia453,67,77,75.7889700704302,69.5094348256262,75.788811418446
1713,1,26,13,Pa468,71,76,75.2812897481666,71.5048154796783,75.2811180934914
1714,1,26,14,NC338,83,84,79.2733566407041,77.500230260303,79.2731763154798
1715,1,26,15,CM99,63,64,69.2651023830732,67.495647055129,69.2649191112616
1716,1,26,16,B7,77,83,78.7564460547109,74.4910257412933,78.7562672893
1717,1,26,17,PHVJ4,64,64,69.2473322999302,67.9863363062046,69.2471667572833
1718,1,26,18,MS67,76,79,76.7377375010911,73.9815603771037,76.7375945340225
1719,1,26,19,B97,72,77,75.7277222351131,71.9767049805296,75.7276099797175
1720,1,26,20,Hy,72,81,77.7173787643339,71.9717860171583,77.7173034592413
1721,1,26,21,PHW86,65,67,70.7067763428705,68.4668098087045,70.7067429052976
1722,1,26,22,6M502,76,76,75.1959946568285,73.9617861504013,75.1960063943576
1723,1,26,23,MS223,72,76,75.1851485734972,71.956737679404,75.1852062403082
1724,1,26,24,LH208,73,77,75.6743163087939,72.4516772982945,75.6744189046336
1725,1,26,25,A648,69,71,72.6635190188607,70.446602402231,72.663665070253
1726,1,26,26,CH701-30,71,76,75.1527282150701,71.4415011181052,75.1529169518243
1727,1,26,27,N200,77,83,78.6418840950156,74.4363569210153,78.6421162026511
1728,1,26,28,PHG83,71,73,73.6309564353394,71.4311657865602,73.6312334034532
1729,1,27,1,CML_395,91,95,84.8091537368051,81.5195315586029,84.809488756052
1730,1,27,2,MS71,71,78,76.3053626691313,71.5166959179538,76.305634745393
1731,1,27,3,764,69,71,72.8015480864937,70.5138631561612,72.8017585117626
1732,1,27,4,N534,73,78,76.2976523488892,72.5110209734364,76.2978038599641
1733,1,27,5,NK807,66,67,70.7936271351994,69.0081639653833,70.79372355547
1734,1,27,6,NY6371,76,81,77.7894266001589,74.0052924781114,77.7894727317697
1735,1,27,7,Mo15W,77,81,77.7850072299982,74.5024134143321,77.7850087522687
1736,1,27,8,LH93,72,77,75.7803368049576,71.9995382355714,75.780299907267
1737,1,27,9,NC264,80,81,77.7753982764193,75.9966825826057,77.7753292104551
1738,1,27,10,C102,77,77,75.7702232885124,74.4938695167173,75.7701271111496
1739,1,27,11,PHK93,81,85,79.7648560483565,76.4911192914567,79.7647362856335
1740,1,27,12,NO._380,63,65,69.7593040853747,67.4884277504725,69.7591636299022
1741,1,27,13,PHHB9,77,76,75.2535376994176,74.485776613955,75.2533797168856
1742,1,27,14,B97,73,77,75.7474648000354,72.483129674781,75.7472942476649
1743,1,27,15,PH207,66,71,72.7409938536031,68.9804475650132,72.7408175365984
1744,1,27,16,DKIB02,64,66,70.2340477779596,67.9776910291294,70.2338741025954
1745,1,27,17,PHAA0,64,65,69.7265909903725,67.9748367685785,69.7264291628295
1746,1,27,18,PHW52,72,76,75.2186273512027,71.9718760811751,75.2184866005287
1747,1,27,19,N523,73,77,75.7102213929429,72.4688173095929,75.7101096968596
1748,1,27,20,DE1,76,79,76.7014621644893,73.9656755478406,76.7013857703921
1749,1,27,21,PHKE6,67,68,71.192429657145,69.4624629719879,71.1923934178091
1750,1,27,22,PHV78,77,81,77.6832181871783,74.4591975457422,77.6832252138594
1751,1,27,23,33-16,77,81,77.6739581367764,74.4559114749628,77.6740088569119
1752,1,27,24,B97,72,77,75.6647436450923,71.9526259021708,75.6648365097204
1753,1,27,25,H5,71,77,75.6556110506988,71.4493441363886,75.6557437179317
1754,1,27,26,80-2,63,63,68.6465303581287,67.4460548945794,68.6467011888352
1755,1,27,27,A340,65,67,70.6374274371119,68.4427380681281,70.6376365038463
1756,1,27,28,ND246,61,63,68.6282577436897,66.4393846354716,68.6285062199069
1757,1,28,1,Mo28W,81,87,80.7663843774802,76.4807452404105,80.7666712399767
1758,1,28,2,OC19,71,71,72.7635294342793,71.4795594160606,72.7637684315853
1759,1,28,3,WR3,69,71,72.7606520693539,70.4783793597868,72.7608445818058
1760,1,28,4,A797NW,83,86,80.2577301082588,77.477203191064,80.2578781887364
1761,1,28,5,PHW80,71,71,72.7547676076461,71.4760391801725,72.7548731931648
1762,1,28,6,Oh7B,79,85,79.7517617372115,75.4748955811662,79.7518267062124
1763,1,28,7,B97,72,78,76.2486942843299,71.9737784098287,76.2487207049361
1764,1,28,8,A572,64,64,69.245519523284,67.9726871762115,69.2455101840306
1765,1,28,9,4554_INBRED,62,63,68.7421793681382,66.971618707721,68.7421379794656
1766,1,28,10,B97,77,77,75.7386752143978,74.4705862032801,75.7386049698208
1767,1,28,11,LH119,71,72,73.2350251371292,71.4696047297916,73.2349283090833
1768,1,28,12,Pa891,79,83,78.7312063397962,75.4686672399329,78.7310852609936
1769,1,28,13,OQ403,65,65,69.7271575687494,68.4677519773098,69.7270155437568
1770,1,28,14,A554,67,67,70.7227553147256,69.4668168195219,70.7225980907296
1771,1,28,15,LH220Ht,71,73,73.7178968289242,71.4658216008204,73.7177321847616
1772,1,28,16,W816G,72,76,75.2125204887522,71.9647333948316,75.2123573781117
1773,1,28,17,B97,73,77,75.7066133400618,72.4635360932739,75.7064609158547
1774,1,28,18,LH185,71,71,72.7002024839365,71.462227149364,72.700069304438
1775,1,28,19,M14,71,73,73.6933495429482,71.4608112213804,73.6932429347572
1776,1,28,20,LH52,67,66,70.1861315914896,69.4592967278931,70.1860574147899
1777,1,28,21,WIL903,73,77,75.6786274023887,72.457694842775,75.6785902182348
1778,1,28,22,W153R,65,65,69.6709316357752,68.4560247137239,69.6709343676259
1779,1,28,23,4722,81,83,78.6631728059912,76.4543215360098,78.6632159030386
1780,1,28,24,K201,81,83,78.6554559021104,76.4526136291279,78.655537750392
1781,1,28,25,Lp215D,68,71,72.6478443739127,69.9509164376655,72.6479620894146
1782,1,28,26,PHW30,68,72,73.1403258871517,69.9492284380334,73.1404770016635
1783,1,28,27,CR1HT,67,67,70.6328340404859,69.4475360453934,70.6330177090857
1784,1,28,28,793,69,72,73.1253186193582,70.4458282674588,73.1255352454785
1785,1,29,1,DK4676A,64,64,69.2270780097714,67.9454962711229,69.2273137991512
1786,1,29,2,Va38,73,76,75.2250241381429,72.4457471339553,75.2252269553291
1787,1,29,3,LH145,66,68,71.2229308735596,68.9460024169513,71.2231023923988
1788,1,29,4,B97,73,76,75.2208168269775,72.4462729072977,75.2209585246256
1789,1,29,5,B97,73,77,75.7187413011809,72.4465815213819,75.7188533009954
1790,1,29,6,C15,64,64,69.2167438823539,67.9469446829218,69.2168252484657
1791,1,29,7,NC324,77,81,77.7148277196968,74.4473672141489,77.7148771244303
1792,1,29,8,W552,68,71,72.7129405318545,69.9478382889258,72.7129574820556
1793,1,29,9,PHP02,65,67,70.7109968752455,68.4483383838001,70.7109824423396
1794,1,29,10,PHW53,73,76,75.2089680230353,72.4488683978762,75.2089235087501
1795,1,29,11,NC258,81,85,79.7068396360819,76.4494342149057,79.7067662289713
1796,1,29,12,MM501D,76,78,76.2045513788776,73.9500245214831,76.2044512140331
1797,1,29,13,ZS1791,73,76,75.2020108521011,72.4506162049477,75.201887750269
1798,1,29,14,PHV37,71,72,73.1990809184282,71.4511696352896,73.1989414188248
1799,1,29,15,W9,65,66,70.1956621852461,68.4516511356579,70.195514724187
1800,1,29,16,CI_21E,79,83,78.691715334456,75.4520385408904,78.6915689314044
1801,1,29,17,LH192,76,76,75.1872494618177,73.9523229374516,75.1871127219388
1802,1,29,18,LH250,76,77,75.6823096246257,73.9525048530583,75.6821900217876
1803,1,29,19,PHW43,69,71,72.6769538083398,70.4525835061987,72.6768575663568
1804,1,29,20,ICI_581,71,76,75.1712457050654,71.4525583952103,75.171177801269
1805,1,29,21,INB_101LFY/LFY_(A632_X_M16_S5),76,85,79.6652503240131,73.9524329628021,79.6652146824769
1806,1,29,22,IBC2,69,72,73.1590456045507,70.4522192492076,73.159044865332
1807,1,29,23,B88,77,83,78.6527375588577,74.4519463000563,78.6527724554281
1808,1,29,24,PHN73,71,71,72.6464325562456,71.4516456585366,72.6465018666541
1809,1,29,25,H105W,69,73,73.6402274720864,70.4513480847245,73.6403281774053
1810,1,29,26,M162W,89,87,80.6341439481631,80.4510688030648,80.6342729158828
1811,1,29,27,K55,77,78,76.1281446882978,74.4508095995065,76.1282999713992
1812,1,29,28,B97,,77,75.6221816462095,,75.6223625575689
1813,1,30,1,A651,63,64,69.1910145619946,67.413618687615,69.1911972889822
1814,1,30,2,B97,77,77,75.6896507019785,74.4151128747363,75.6898148929567
1815,1,30,3,DKMFD-13D,73,77,75.6882270364145,72.4166077749877,75.6883745558749
